"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_2027_1","2_1095_20260401","1095_1111735_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1111424_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1101024_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2100114_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2111424_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2112024_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2111413_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2112213_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2110624_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2100534_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2113614_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2112324_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1101115_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2111124_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1112115_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1114224_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1101036_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1110824_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2112234_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1110116_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1113424_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1110613_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2111614_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2111824_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1113224_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1113816_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2112313_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2110413_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1110537_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2110613_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1111013_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1100824_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1112233_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1113513_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2100912_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2100224_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2110716_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1101123_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1104017_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1111113_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2110824_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2112224_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1095_20260401","1095_1112213_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2113714_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1096_20260401","1096_2111813_20260401","大学病院",,,,"2_2027_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1101122_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1100842_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1113815_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1100722_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1110115_20260401","岡電高屋",,,,"2_2028_1",,,"2"
