"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"29005_291022_1","29_921_20251001","921_292021349_20251001","中庄駅",,,,"3_291022_1",,,"29"
"29005_291022_1","29_920_20251001","920_292021349_20251001","中庄駅",,,,"3_291022_1",,,"29"
"29005_291022_1","29_918_20251001","918_292021344_20251001","中庄駅",,,,"3_291022_1",,,"29"
"29005_291022_1","21_924_20251001","924_292021342_20251001","中庄駅",,,,"3_291022_1",,,"21"
"29005_291022_1","21_931_20251001","931_292021342_20251001","中庄駅",,,,"3_291022_1",,,"21"
"29005_291022_1","21_935_20251001","935_292021348_20251001","中庄駅",,,,"3_291022_1",,,"21"
"29005_291022_1","21_934_20251001","934_292021348_20251001","中庄駅",,,,"3_291022_1",,,"21"
"29005_291052_1","29_918_20251001","918_292021329_20251001","岡山駅",,,,"3_291052_1",,,"29"
"29005_292011_1","29_918_20251001","918_292021330_20251001","岡山駅",,,,"3_292011_1",,,"29"
"29005_292012_1","29_921_20251001","921_292021351_20251001","倉敷駅",,,,"3_292012_1",,,"29"
"29005_292012_1","29_920_20251001","920_292021351_20251001","倉敷駅",,,,"3_292012_1",,,"29"
"29005_292012_1","29_918_20251001","918_292021345_20251001","倉敷駅",,,,"3_292012_1",,,"29"
"29005_292021_1","29_920_20251001","920_292021337_20251001","岡山駅",,,,"3_292021_1",,,"29"
"29005_292021_1","29_921_20251001","921_292021338_20251001","岡山駅",,,,"3_292021_1",,,"29"
"29005_292021_1","29_920_20251001","920_292021338_20251001","岡山駅",,,,"3_292021_1",,,"29"
"29005_292021_1","21_924_20251001","924_292021332_20251001","岡山駅",,,,"3_292021_1",,,"21"
"29005_292021_1","21_931_20251001","931_292021332_20251001","岡山駅",,,,"3_292021_1",,,"21"
"29005_292021_1","21_924_20251001","924_292021331_20251001","岡山駅",,,,"3_292021_1",,,"21"
"29005_292021_1","21_931_20251001","931_292021331_20251001","岡山駅",,,,"3_292021_1",,,"21"
"29005_292021_1","29_921_20251001","921_292021337_20251001","岡山駅",,,,"3_292021_1",,,"29"
"29005_292022_1","21_931_20251001","931_292021346_20251001","中庄駅",,,,"3_292022_1",,,"21"
"29005_292022_1","29_920_20251001","920_292021352_20251001","中庄駅",,,,"3_292022_1",,,"29"
"29005_292022_1","29_921_20251001","921_292021352_20251001","中庄駅",,,,"3_292022_1",,,"29"
"29005_292022_1","21_924_20251001","924_292021346_20251001","中庄駅",,,,"3_292022_1",,,"21"
"29005_292025_1","29_920_20251001","920_292021339_20251001","岡山駅",,,,"3_292025_1",,,"29"
"29005_292025_1","29_921_20251001","921_292021339_20251001","岡山駅",,,,"3_292025_1",,,"29"
"29005_292026_1","29_921_20251001","921_292021353_20251001","北長瀬駅前",,,,"3_292026_1",,,"29"
"29005_292026_1","29_920_20251001","920_292021353_20251001","北長瀬駅前",,,,"3_292026_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021379_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021375_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021374_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021365_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021363_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021371_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021376_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_920_20251001","920_290811203_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_920_20251001","920_290811204_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021377_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_921_20251001","921_290811301_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021359_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_920_20251001","920_290811202_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021357_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021373_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_920_20251001","920_290811205_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021360_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021356_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021355_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021369_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021378_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021370_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021364_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021368_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021366_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021358_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_920_20251001","920_290811206_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021367_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021362_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021372_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_921_20251001","921_290811302_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_918_20251001","918_292021361_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_920_20251001","920_290811207_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290811_1","29_920_20251001","920_290811201_20251001","新倉敷駅",,,,"3_290811_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022701_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022720_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022715_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022706_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_921_20251001","921_290812304_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022713_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022722_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812215_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022716_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812214_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022712_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_921_20251001","921_290812303_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022707_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812211_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022723_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812209_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022719_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812216_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022717_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022718_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022702_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022711_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022724_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022705_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022726_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022708_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
